iter	Passed	Remaining
0	6	31698
1	11	28431
2	16	26855
3	20	25852
4	25	25061
5	30	25792
6	36	25909
7	40	25334
8	45	25331
9	50	25275
10	55	25074
11	59	24767
12	63	24480
13	68	24325
14	73	24321
15	79	24654
16	84	24837
17	90	25112
18	96	25256
19	101	25355
20	106	25229
21	110	25067
22	115	25026
23	119	24873
24	124	24850
25	129	24786
26	134	24746
27	138	24624
28	142	24413
29	146	24280
30	151	24237
31	155	24079
32	158	23912
33	162	23787
34	166	23620
35	171	23579
36	174	23399
37	178	23341
38	183	23320
39	187	23207
40	191	23107
41	195	23032
42	199	22949
43	202	22863
44	206	22736
45	210	22681
46	214	22564
47	218	22534
48	222	22443
49	226	22400
50	230	22403
51	234	22318
52	237	22209
53	241	22128
54	245	22043
55	249	22015
56	252	21901
57	255	21802
58	259	21719
59	263	21678
60	267	21635
61	270	21570
62	274	21509
63	278	21493
64	282	21419
65	285	21339
66	289	21282
67	292	21225
68	296	21182
69	300	21132
70	303	21065
71	307	21045
72	311	21002
73	314	20952
74	318	20920
75	322	20866
76	326	20846
77	329	20791
78	333	20750
79	336	20695
80	340	20661
81	343	20619
82	347	20570
83	350	20531
84	354	20502
85	358	20464
86	361	20420
87	365	20377
88	368	20322
89	372	20295
90	375	20267
91	379	20224
92	382	20180
93	385	20143
94	389	20102
95	392	20064
96	396	20028
97	399	20006
98	403	19967
99	407	19950
100	410	19921
101	414	19898
102	417	19862
103	421	19848
104	425	19822
105	428	19793
106	431	19746
107	435	19736
108	439	19706
109	442	19687
110	446	19661
111	450	19641
112	453	19626
113	457	19594
114	460	19563
115	463	19529
116	467	19511
117	471	19502
118	474	19482
119	478	19462
120	481	19435
121	485	19428
122	489	19409
123	492	19378
124	496	19352
125	499	19334
126	503	19322
127	506	19294
128	510	19293
129	514	19278
130	518	19261
131	521	19239
132	525	19222
133	528	19200
134	532	19194
135	536	19179
136	539	19167
137	544	19170
138	547	19158
139	551	19147
140	555	19130
141	558	19119
142	562	19116
143	566	19107
144	570	19093
145	573	19071
146	577	19053
147	580	19045
148	584	19031
149	588	19031
150	592	19012
151	595	19004
152	599	18994
153	603	18981
154	606	18966
155	610	18959
156	614	18953
157	618	18947
158	621	18931
159	625	18931
160	629	18918
161	632	18903
162	636	18894
163	640	18894
164	644	18883
165	648	18877
166	651	18865
167	655	18858
168	659	18851
169	663	18849
170	667	18844
171	671	18839
172	674	18833
173	679	18837
174	683	18831
175	686	18822
176	690	18815
177	694	18817
178	698	18806
179	701	18797
180	705	18779
181	708	18768
182	712	18767
183	716	18764
184	720	18747
185	724	18748
186	728	18743
187	732	18742
188	735	18732
189	740	18741
190	744	18739
191	748	18740
192	752	18730
193	755	18727
194	760	18730
195	764	18732
196	768	18726
197	772	18743
198	777	18746
199	780	18737
200	784	18735
201	788	18731
202	792	18727
203	796	18729
204	801	18742
205	805	18746
206	810	18757
207	813	18745
208	818	18755
209	821	18746
210	826	18760
211	830	18760
212	835	18780
213	840	18796
214	844	18791
215	848	18793
216	852	18792
217	856	18795
218	861	18813
219	865	18799
220	869	18803
221	874	18825
222	878	18821
223	882	18810
224	886	18804
225	889	18794
226	893	18780
227	896	18756
228	899	18743
229	903	18743
230	908	18752
231	912	18755
232	917	18780
233	921	18776
234	925	18764
235	929	18760
236	933	18759
237	937	18750
238	941	18746
239	945	18744
240	949	18752
241	953	18744
242	957	18752
243	962	18755
244	966	18761
245	972	18785
246	977	18800
247	981	18809
248	985	18808
249	990	18815
250	993	18806
251	997	18797
252	1001	18783
253	1004	18776
254	1008	18769
255	1014	18792
256	1018	18790
257	1021	18768
258	1024	18761
259	1029	18764
260	1033	18758
261	1036	18746
262	1041	18751
263	1045	18759
264	1049	18760
265	1054	18762
266	1058	18762
267	1062	18768
268	1067	18770
269	1071	18772
270	1075	18772
271	1081	18792
272	1085	18798
273	1089	18796
274	1094	18801
275	1098	18807
276	1103	18811
277	1107	18815
278	1111	18810
279	1115	18801
280	1119	18793
281	1122	18787
282	1126	18780
283	1130	18767
284	1133	18756
285	1137	18751
286	1141	18753
287	1146	18752
288	1150	18747
289	1154	18753
290	1158	18750
291	1162	18746
292	1166	18736
293	1171	18743
294	1175	18742
295	1178	18734
296	1182	18727
297	1186	18728
298	1190	18721
299	1195	18721
300	1198	18713
301	1203	18715
302	1206	18707
303	1211	18711
304	1214	18702
305	1219	18700
306	1223	18700
307	1226	18689
308	1230	18681
309	1236	18704
310	1240	18709
311	1244	18701
312	1248	18690
313	1252	18688
314	1255	18678
315	1259	18666
316	1262	18656
317	1266	18654
318	1270	18647
319	1275	18647
320	1278	18638
321	1282	18630
322	1286	18628
323	1289	18615
324	1293	18609
325	1298	18611
326	1302	18609
327	1306	18607
328	1310	18603
329	1314	18595
330	1318	18593
331	1322	18589
332	1325	18581
333	1329	18573
334	1333	18570
335	1337	18568
336	1341	18563
337	1345	18560
338	1349	18558
339	1353	18548
340	1356	18538
341	1360	18526
342	1364	18525
343	1368	18525
344	1372	18519
345	1377	18527
346	1381	18528
347	1385	18526
348	1389	18514
349	1393	18515
350	1397	18507
351	1401	18503
352	1404	18494
353	1409	18493
354	1413	18499
355	1417	18495
356	1421	18484
357	1425	18482
358	1429	18480
359	1433	18474
360	1436	18465
361	1440	18461
362	1444	18453
363	1448	18453
364	1452	18446
365	1456	18441
366	1460	18437
367	1464	18434
368	1468	18431
369	1472	18425
370	1475	18415
371	1480	18416
372	1484	18415
373	1488	18416
374	1493	18419
375	1497	18413
376	1500	18404
377	1505	18405
378	1509	18410
379	1513	18406
380	1517	18400
381	1521	18395
382	1525	18395
383	1529	18385
384	1533	18378
385	1536	18370
386	1541	18369
387	1544	18363
388	1549	18364
389	1553	18363
390	1558	18375
391	1562	18371
392	1567	18376
393	1572	18381
394	1576	18382
395	1581	18386
396	1585	18386
397	1591	18399
398	1595	18393
399	1599	18395
400	1603	18395
401	1608	18397
402	1613	18402
403	1617	18399
404	1622	18411
405	1627	18413
406	1631	18412
407	1637	18426
408	1641	18421
409	1645	18420
410	1649	18420
411	1654	18427
412	1659	18429
413	1663	18429
414	1674	18504
415	1680	18517
416	1686	18531
417	1691	18540
418	1696	18547
419	1703	18573
420	1708	18579
421	1712	18579
422	1717	18579
423	1721	18576
424	1725	18574
425	1729	18572
426	1734	18570
427	1737	18563
428	1742	18562
429	1745	18552
430	1749	18547
431	1753	18538
432	1756	18528
433	1759	18515
434	1763	18511
435	1767	18507
436	1771	18495
437	1775	18488
438	1779	18486
439	1783	18483
440	1788	18485
441	1792	18482
442	1796	18480
443	1800	18471
444	1804	18468
445	1808	18461
446	1811	18454
447	1815	18446
448	1820	18449
449	1823	18439
450	1828	18445
451	1833	18444
452	1837	18444
453	1841	18439
454	1846	18442
455	1850	18441
456	1854	18432
457	1857	18424
458	1861	18417
459	1865	18413
460	1869	18406
461	1872	18394
462	1876	18392
463	1880	18385
464	1884	18379
465	1888	18372
466	1892	18368
467	1896	18363
468	1899	18354
469	1903	18345
470	1907	18338
471	1911	18333
472	1914	18325
473	1918	18321
474	1922	18315
475	1926	18310
476	1930	18302
477	1934	18297
478	1937	18288
479	1941	18283
480	1945	18278
481	1949	18272
482	1952	18263
483	1956	18258
484	1960	18247
485	1963	18238
486	1967	18230
487	1971	18224
488	1974	18217
489	1978	18208
490	1982	18205
491	1986	18196
492	1989	18190
493	1993	18184
494	1997	18178
495	2001	18170
496	2004	18165
497	2008	18157
498	2012	18149
499	2015	18140
500	2019	18135
501	2023	18126
502	2026	18119
503	2030	18115
504	2034	18106
505	2038	18101
506	2042	18096
507	2045	18091
508	2049	18079
509	2052	18070
510	2056	18061
511	2059	18056
512	2063	18047
513	2067	18040
